用户ID,评论内容,会员级别,点赞数,回复数,得分,购买时间
12064914592,今天终于入手了5999，外面检查完毕以后，然后就是检查序列号，发现都是对的，然后开机直接@，登录id，因为以前一直都是苹果所以也没有什么感觉，速度很快，就是辅助控制有点慢，再也没有其他了特别流畅，这个麦克风我要大赞，真的很高，音质特别好。视频特别清晰。我拍了视频大家可以看一下视频的流畅度。顺便带上耳机感受一下高音，售后是特别的好，亲切客服态度相当好。多年的京东购物经验提醒大家最好买京东自营的，第三方的不建议&hellip;,金牌会员,7,15,5,2018/10/31 17:40
12294179781,"反应很灵敏，金色真的很漂亮后面粉粉的，特别好看
就是玻璃屏有点惊险，谁让它好看的，用惯了苹果，喜欢它的干净利落，软件文件都没有包袱，可以让手机轻松运行",金牌会员,5,3,5,2018/12/23 14:39
10962607452,"很愉快的一次购物，双11活动抢购的。手机用起来很舒服。8p的外观没变，但是材质是玻璃的，特意和奶油粉金做了对比，黑色低调耐看，奶油粉金更适合女孩子。两款我都喜欢。
喜欢带指纹的8p，是前面两款手机的继承，用起来很顺手，运行速度杠杠滴，尤其是指纹解锁超级快，游戏方面暂时还没有很好的匹配，王者荣耀暂时不能开启高帧率模式，如果可以开启90帧的话简直飞起哈哈哈。夜间拍照效果很棒，有一种立体感。",金牌会员,2,0,5,2017/11/13 11:31
12469136249,买来玩游戏的，游戏体验极好。手机是新的，用起来很流畅，表面也没什么问题。满意,PLUS会员,1,0,5,2019/2/20 10:33
12400609939,18日下的单，19日拿到了，激活，非常好用，本意是想入手iPhone8，最后比较了下，果断8 plus，略微显大，银色非常漂亮，今天在公司查了序列号，正品，信赖京东,PLUS会员,1,0,5,2019/1/22 20:56
11535080759,"帮朋友买的，连我都很喜欢，我都心动了，经典的梦想手机，我用过iPhone6s plus,现在看朋友在用8plus，满满的回忆，8plus 用的A11处理器是手机界最强大的处理器，连高通845和麒麟970都追赶不上，还支持了无线充电，还有ip67放水防尘，京东自营物流很给力，因为是玻璃后盖，建议套个手机壳&hellip;&hellip;",PLUS会员,54,15,5,2018/5/30 16:49
12329902695,好，很好，非常常好，手机挺重的，外观很完美，性能稳定，值得购买，京东商城值得信赖！,PLUS会员,8,3,5,2019/1/2 17:52
12443365042,年前买来用了一周还是挺不错的，第一次用苹果手机感觉很好，质量也不错，屏幕比以前的mate8感觉要好很多虽然都是lcd的屏幕，有一次外放发现手机是立体声场，不仅底部可以出声，连耳机听筒也可以扬声，这点比以前的mate8要好,钻石会员,4,0,5,2019/2/10 15:56
12408119332,买这款手机的时候是要预定的，京东自营就是好?，在预定时间内送到。手机手感很好，用起来也顺畅，相信苹果这个品牌，用一段时间再追评哦&hellip;&hellip;,PLUS会员,0,0,5,2019/1/24 23:42
11595987793,特意用了一周再来评论，贴了前后膜加了壳，爪机超nice，毕竟iOS系统，很流畅，木有任何问题~  看了好多评论里说有这样那样的问题，吓得我拆快递的时候都录的视频&hellip; 哈哈，事实证明京东毕竟是京东，值得信赖~ 而且就算发生什么问题，概率也是非常小的，不可能就那么倒霉正好发生在你身上~  关于电池一直都是苹果的软肋，反正我每天就刷刷微博微信 听音乐，一天充一次就OK~,银牌会员,65,25,5,2018/6/15 15:30
12375182381,外观还是很喜欢的，大小也刚好，不想带太大的，我用手机要求不高，就购物和~，所以也体验不出运行快不快，但还是很满意，之前带安卓现在用两天也顺手多了&hellip;还有就是快递超快的，公司员工也挺满意的,企业会员,0,0,5,2019/1/15 15:34
11605717251,用了半个月 感觉没什么问题 而且银色挺好看的 我当时买这款手机主要是为吃鸡&hellip;&hellip;平心而论玩刺激战场&hellip;&hellip;真的是超级流畅！！,银牌会员,3,0,5,2018/6/18 7:31
12101581999,首先，物流包装很好，没有任何损坏，然后，不锈钢架很有分量，配的零件质量也很好，安装方便颜值有了，质感有了，真是集收纳与美观一身，东西做工很好，很有现代工业感，组合多变，想要怎么组都可以，有***的乐趣，可能下回还会来，如果需要的话。,PLUS会员,1,0,5,2018/11/8 22:25
12379251362,之前看评论一直不敢下单  后来朋友说靠谱  拿回来马上用网上找的方法各种检查  没任何问题  后来又玩吃鸡  果然没让人失望！玩起游戏特别棒  金色也很好看?    现在用了两天了  感觉很棒！,注册会员,0,3,5,2019/1/16 18:12
12485829204,很喜欢 很给力  用这超级喜欢  比较顺手  打游戏挺流畅  吃鸡 王者荣耀了 都挺好   就是电池有点不耐用,钻石会员,0,0,5,2019/2/25 11:22
12421239555,拍照效果很好，外观很漂亮，各方面都不错，反应很快，不卡，很喜欢，价格划算，值得购买，电池用量也久。,金牌会员,1,0,5,2019/1/28 21:55
11133631364,显示效果: 很棒，屏幕比前几代都要精细 运行速度: 很快，功能更便捷一些了 拍照效果: 人像效果很赞 电池续航: 支持无线充电的感觉还是爽,钻石会员,1,0,5,2018/1/5 15:35
11322019494,非常好，刚开始买一个有瑕疵。退货了。前天看有活动金色秒杀就买了。这个非常好。外观没毛病。没瑕疵。就寄激活了。激活挺快的。不卡。他们说的打电话还没试。等明天再试。好评。原本买银色的。朋友买个。不想跟他一样就买个金色。感觉金色很好看。每个人审美不一样。坚持自己的就好毕竟自己用。自己喜欢就好，这说一下包装。我看别人都有一个厚袋包的。我的没有。准备给包装打一星。现在很好就给五星吧,金牌会员,3,3,5,2018/3/18 22:08
12398782384,不错 高大上 屏幕也不错 电池也不错 很流畅 玻璃面的设计很完美 总之就是不错 价格也算便宜 满意的购物 凑够字了吗？相当我很累！哈哈哈哈我觉得自己是最可爱的人了！哈哈哈哈哈?,银牌会员,3,0,5,2019/1/22 12:29
12448444705,玩了一下午，很喜欢，刚开始用苹果，好多地方都不喜欢，慢慢来，手感一级棒，玩游戏画质很好,银牌会员,1,2,5,2019/2/12 22:46
12390050015,现在的品控确实不行啊，手机后盖缝隙里有灰尘 胶水，摄像头里有灰尘，一个电子产品而已，将就用了。再来说说颜色，首先深空灰比其他颜色相对比来说确实好看，更适合男性，显得比较稳重，成熟。尤其正面熄屏一瞬间犹如一件艺术品，一体感很强。iPhone的流畅度没话说，用起来还是那么的舒服。撑到5G全面普及还是一次性到位买256G的，物流很快，隔天就到。,PLUS会员,2,3,5,2019/1/19 21:07
12392905539,手机收到了，还不错，也查询了一下日期，没问题，电池比原来的6S强多了，系统也很流畅，目前没什么太大问题，趁着这个价格买下来的，纪念最后一款home键手机，一开始也是有所担心质量问题，用一段时间看看吧，目前是没什么毛病,PLUS会员,1,0,5,2019/1/20 18:40
12275560861,手机已经用了一段时间了，很不错，暂时没有出现任何的问题，早上出门满电，晚上下班回家还是有1半多的电，不玩游戏，基本生活常用的APP耗电还是可以的，棒棒哒！,PLUS会员,0,0,5,2018/12/18 15:19
12369136172,很好 手感不错 在京东买的第四个手机了！电子产品一直都是京东买的！我都不知道那些给差评的怎么能这样办！我都都是全新的 激活还得升级系统了  这也是唯一的缺点 不升级用不了 强制升级啊！怎么说很好用很流畅啊！不错！,PLUS会员,0,0,5,2019/1/13 21:00
12319348613,电池续航很好，基本工作一天下来，晚上睡觉还能剩30%左右的电量。像素比6s高很多&hellip;在x和8p之间徘徊良久，最后选择了8p，手感很好。,钻石会员,1,0,5,2018/12/30 15:33
12467099926,没有想到降价那么严重，比我朋友那里还便宜，本来还很犹豫的，刚好昨天开始剩余10小时就害怕错过然后赶紧下单，很ok真的很美，然后在朋友的帮助下查了序列号是正品喔！一直很相信京东！接着就是快递真的很快！超级快！哈哈哈哈完美！,铜牌会员,5,2,5,2019/2/19 15:26
12387026550,有一处小划痕，不影响使用，带上手机壳也看不见，京东自营品质看的见，还算是不错吧，将价入手美滋滋，iPhone8plus 最后一款超前配置 用起来美滋滋 很好 喜欢 苹果 哈哈哈 开心 小划痕就不是很开心，谁叫激活了呢 哎,铜牌会员,1,1,5,2019/1/18 22:47
12391154690,入手8P，我的小6终于退休啦。用了一周了，说说使用感受，跟我的小6相比较，8p系统十分流畅，电池耐用啊?，金色也特别好看，物流也快，12号下单，13号就收到了。没有查序列号，因为我相信京东。各方面都满意啊，好了，不说了，我要去玩手机了。,银牌会员,6,1,5,2019/1/20 10:15
12235085463,手机用了一个多月啦，用着很好，运行特快，也很保电，不玩游戏，一天绝对没问题，还能剩30%多，绝对正品，希望以后没问题，相信京东，棒棒哒，还有灰色不错哦&lsquo;简单大方，大爱，买了就值啦，开心?,银牌会员,0,1,5,2018/12/8 21:49
10970114687,手感很好，没什么问题，买的时候也很便宜，自己喜欢的黑色，用了一段时间，跟安卓各有千秋，不过真心流畅，有免息分期所以也没全款买，分了三期，,钻石会员,1,0,5,2017/11/14 17:33
10832445420,Apple iPhone 8 Plus，美在智慧，抗水防尘，系统反应很灵敏，很快，没有什么卡顿的，终于等到你，超喜欢哦，颜色很好看，有点杏色，有点米黄的感觉，玻璃很亮！手感很好送货快：服务很好：上午抢到了：下午4点就到手：很速度：支持京东商城。,PLUS会员,401,242,5,2017/10/3 21:03
10916525329,"包装盒打开时候的阻尼感可以说无出其右，真的恰到好处。深空灰色熄屏状态下完美。价格比港行还便宜，真的值了。系统目前11.1用得很流畅，后续11.2甚至11.3可以想像还会有提升，bug也会越来越少。拍照比7不知道，比6提升明显，续航的话本人用一整天没问题。
有X的存在，所以8被人不看好，顺便提一下，抢到了一台X深空灰色，3号首批哈哈哈哈。",PLUS会员,17,5,5,2017/11/2 16:28
12413802149,从小屏的6s换到5.5寸的8p看视频打游戏都很舒服，这最后一台经典外观的8p再战多几年问题应该不大，另外续航比我那6s强多了，这个才是我最喜欢的，6s续航真的无语&hellip;总之8p好评！,PLUS会员,0,1,5,2019/1/26 18:26
12425983271,全新正品，很好，和我朋友的官换机一对比，明显能感觉出质量的差距，色调和触屏的水很深，软件完全测不出来，但是一对比。真假立判。快递小哥，人也不错，物流及时。,银牌会员,3,0,5,2019/1/30 15:13
11970255527,用了一个多月了。性能良好。苹果的屏幕显示真的不错。可以感觉周围环境的光来改变。让眼睛看着很舒服。电池的话还是算耐用。就正常使用。不玩游戏。用一天是一点问题没有的。最后说一下颜色。我个人是挺喜欢红色的。很耐看?,PLUS会员,0,2,5,2018/10/3 11:55
12470101422,使用半天，我要开始评价了，机子是2019年1月生产的，外观无划痕，摄像头没有灰尘颗粒！！品相完美！沙漏验机全新机器，没有换过任何东西！百分百原装，屏幕是东芝的，很不错，信号也很好，很满意！,钻石会员,2,1,5,2019/2/20 14:51
10961082924,用了一段时间才来评价的。外观什么的和7差不多，但是手感绝对要更好，非常的细腻，而且有很好的质感。本来是等着要买X的，但是真心受不了那个刘海。所以买了8P，电池相对于7来讲，个人感觉好像更耐用。打开原彩显示基本上早上七点出门，吃过晚饭回来还有差不多百分之四十的电量。个人使用微信较多，电话相对少一些。打游戏的话，以王者荣耀为例四个多少小时没有问题，这个是我实验过的。系统方面相信用过苹果的应该都知道，流畅度很好，相对安卓机出彩不少。本人目前使用三部手机，SE、7和8P，SE依然很流畅。对苹果的系统还是很满意的。,PLUS会员,26,5,5,2017/11/13 0:21
12125949239,很喜欢，本来打算买x系列的，觉得这款性比价更高些，我不太喜欢太大的屏，和?系列相比较，只是少了面容 ID，其他性能并不比x系列的逊色，而且是中国红特别版，很是喜欢，性格也比较合理，其实8p出来的时间比较尴尬而已，不然应该更火的，生不逢时啊，很是喜欢，尺寸合适，性能很强，双置相机?，完美。,银牌会员,1,1,5,2018/11/13 12:30
12414303883,"非常忐忑的打开了手机，然后一直在摸索，幸好是正品。但是还没有出现评论里说的什么卡机啊，黑屏的问题
第1次在京东上买手机体验还不错。个人觉得银色非常干净帅气
.比发黄的金色好看多了",钻石会员,1,0,5,2019/1/26 20:53
12304063625,手机用了一段时间了，前一个是苹果7。个人觉得还是7的上手感觉比较舒服，虽然只有0.4毫米的厚度差距，而且plu**较大，单手还不太好操作&hellip;&hellip;总之外观我更喜欢7。再说说手机性能，可以说是非常好啦，很流畅，性能非常强！,金牌会员,0,0,5,2018/12/26 9:28
11648613713,京东就是快呀 昨天买的 今天就到了。幸亏没有买x，还是8p用着爽，屏幕大，玩游戏看剧都很舒服，就连打起字都特别好使。手机拿到手机一点儿问题也没有，四处都检查了，速度闪退现在都挺好的 还没有出现什么问题。这个颜色也很高大尚，喜欢。不错的一次购物。,银牌会员,1,0,5,2018/6/27 21:00
12416520358,之前一直在用安卓的，突然想试试苹果的，在买之前，对比一下苹果的手机，8p比较值得买，拍照很清晰，屏幕分辨率也很好，电池用得不是很长时间，希望续航能力增强,银牌会员,1,0,5,2019/1/27 15:09
12380049414,一直担心买到二手机子，下单后，晚上睡觉都没睡好，结果收到后，无论包装还是激活后的使用，都很好，不像评论里说的有手印啊，磨损啊，提前被激活之类的，我第一次在京东买手机，对于新手来说，真的出乎意料满意，当然了，现在才用了一天，等再过十几天再回来追评。,铜牌会员,3,4,5,2019/1/16 21:46
12485971610,用了很久后来评价的，说到机器我不懂，女生对电子产品本身也不那么精通。对这个机器的评价是拍下出货快京东服务好，到手机器没有伤，目前为止机器速度快，电池抗用。整体来说很满意，我觉得手机能买到可心的很不错了，好用就行不能吹毛求疵，非要这测试那测试的。,金牌会员,1,1,5,2019/2/25 12:01
12034245385,买之前一直在iphone x和8plus之间纠结，x偏小一点，更好看一些，但是续航不如8plus，和iphone  x一样的配置，而且价格便宜些，售后更方便。8p的双面玻璃很好看，媳妇用着很开心，哈哈哈哈哈。满意！应该会比安卓机更耐用一些！,PLUS会员,2,2,5,2018/10/22 23:08
12311954297,物流很快，包装完美，非常满意，拿回来第一时间就@了，不过自己很笨，弄了很久才设置好，手机反应特别快，先用一段时间再来评论，总体来说还是非常好的?,PLUS会员,0,0,5,2018/12/28 12:03
10917328243,之前一直用的苹果6S，小手机也挺好，可以丢了，就想换个大屏幕的体验一下，到货后感觉挺不错，非常流畅，目前刚用还没发现什么问题，白色挺好看。照片是备用机6拍的。,银牌会员,8,0,5,2017/11/2 19:55
12481440960,还不错，是jdi的屏幕，19年生产的，现在买的应该大部分都是jdi的屏幕。从安卓转来的，感觉安卓的流畅度和ios差不多，没感觉ios有吹得神乎其神的超流畅。好了，买来之后把所有的都该关的差不多了，准备养老了。还有现在的全面屏技术真的很不成熟，还是喜欢16:9的屏幕看番剧，不喜欢看视频有两条大黑边QAQ。今年就以路人身份吃瓜看看各大手机产商大战了。另外附上几张图,银牌会员,0,0,5,2019/2/23 20:45
11296580309,屏幕很大，有分量，之前用的6S，直接换8P用起来还觉得太大了，很大气，很有质感，查过序列号保修刚好还有一年时间差几天，完美，检查过摄像头也没有进灰，整个手机也没有划痕出现，包装也没有拆封过，客服也很耐心解答。从4s-6s-8P，不知不觉也成了果粉，买这个手机就图个安稳，满意。,PLUS会员,5,0,5,2018/3/10 9:48
11787632224,一直纠结了好久，终于下单了。首先样子非常喜欢，背面的玻璃材质手感特别好，反应也特别快。未激活的，也没有任何瑕疵的地方，专门买来吃鸡的。唯一想吐槽一下的就是，包装太不走心了，很随意的样子，好在没有被磕到，碰到。总之：挺好的！,银牌会员,0,0,5,2018/8/9 6:28
11299866845,犹豫很久 看到优惠了 立马入手了 屏幕色彩非常棒 毕竟是视网膜技术 之前用安卓系统  卡顿现象严重  iOS系统不是吹得  流畅度非常好 无线充电非常棒 很方便,PLUS会员,5,0,5,2018/3/11 12:14
11997571159,"手机用了20天啦才来评价，总体来说比较满意，运行流畅，电池也可以，比较耐用，比之前用的6s好多了。
手机很漂亮，手感好，比较满意
就是玻璃后壳比较容易沾指纹而已",银牌会员,1,2,5,2018/10/12 10:13
12213560953,"买的很划算，包装很简单，特地用了十来天才来评价。显示效果:屏幕显示效果很好，非常清晰。运行速度:运行速度很快。玩游戏也很顺畅,拍照效果:拍照效果很好，像素好,拍人都很好看。电池续航:到是一般，反正一天一冲，查过了，是新机",PLUS会员,2,1,5,2018/12/3 0:18
11793230595,发货很快，银色很漂亮~屏幕大的看起来很爽，到货第二天就开始用起来看zh了，画面颜色很好，声音也没问题。运行速度也很快，完全不卡顿。拍摄照片色彩也不错。听歌戴上耳机音效很棒，爱了！！！！！而且银色的背壳真的很好看，就是白色，周围朋友看了都很喜欢！！！！,金牌会员,0,1,5,2018/8/10 18:23
12207250623,"用到现在没出现问题,期待质量杠杠的。双十一拍
的价钱很实惠,挺好看的,手机性能挺好的,外观
漂亮,大爱,好看的很手感好,很满意,手感好
运行速度快。手感很好,速度快。",PLUS会员,1,2,5,2018/12/1 12:03
12460627274,呀，真的期待了好久，终于下手了，还是支持京东！送货快隔天就到了，很期待的打开包装！果然非常的不错期待还是值得的！先用一段时间，一直用苹果的对苹果还是有很高的信赖的！非常不错，非常喜欢！,铜牌会员,0,0,5,2019/2/17 14:45
10958716656,凌晨下单，下午就收到了，第二部苹果手机，从iphone5s直接换到8p，刚上手有点不适应，8p的手感相当厚重，握感扎实，做工精致，背部玻璃面板手感一流，iOS系统还是一贯流畅，同时开三个大型游戏都很顺畅，iPhone8p还是值得信赖。,钻石会员,8,0,5,2017/11/12 17:09
11305692626,昨天激活前，仔细看了外观，充电口，包装盒配件，都很完整，很多渠道查了包括官网查了都没有激活。很流畅，6p用了两年直接换8p，体验还是很好的。快递的叔叔人也很好，让我拆开仔细检查好,银牌会员,3,1,5,2018/3/13 11:32
11323317832,非常好，拍照比7P有提升，更鲜艳，发热更小，续航待测试，人像模式改进得不错。摄像头没灰，没有大缝隙，做工完美,PLUS会员,12,2,5,2018/3/19 12:34
12454453775,上午10点下单，下午17.30就到了很快，买就个手机就是为了吃鸡，很流畅，拍照很清晰，18年12月底生产的，买回来自已激活的很好，是正品，外观很漂亮！！！满意的一次够物,铜牌会员,1,2,5,2019/2/15 11:59
11872203817,手机刚开始用。 拿到手机贼激动 本来以为会买到官换机。或者翻新机。看呢些评论都快把我你吓死了。到拿到之后查看一下没有一点问题。很好。 续航可以。像素还原现实很好。 处理器很强大。一点都不卡。下了一个吃鸡玩着贼爽、外观完好无损，包装也就呢样。一般般。第一次用苹果。目前体验很好。,银牌会员,1,1,5,2018/9/3 20:17
11654257445,"显示效果: 像素非常好，
 运行速度: 运行非常快，内存大。
 拍照效果: 自拍照美美的，
 电池续航: 电池耐用。
 总结: 宝贝非常好，用了两天才来评价。物流也快，",钻石会员,0,1,5,2018/6/29 15:10
12388095625,手机很不错。当时想买黑色的结果断货了。只能买银色的 其实是白色的。很不错哦。很好看。 查了 正品  第一次用ios系统不太适应,注册会员,0,0,5,2019/1/19 11:39
12101680699,特意用了几天过来评价，几大优点：1.金色颜值妥妥的，吸引眼球。2.运行速度超快，A11芯片还是很给力的，相机效果也很棒。3.电量方面，大电池容量还是值得信赖的，重度使用一天一充，不过不失，总体还是挺让人满意的。,PLUS会员,2,0,5,2018/11/8 22:50
11408756694,看了好久  418优惠买了省一千  到手检查了外观，没有激活过  很喜欢  香槟色很适合女性用。大气上档次  后续有待研究开发 快递小哥也很给力 用两天适应一下过来追评,金牌会员,4,6,5,2018/4/18 16:44
11944492539,"首先说一下物流特别特别的快，当天早上买的，下午就收到了，然后说一下物流很严谨，在拿快递之前都会发一个验证码，毕竟是贵重用品，这样一来防止拿错，这种做法很好，拿到手机之后迫不及待的试了一下，首先包装很好，没有损坏，送了原装的耳机和充电器，版型很好看，拍照特别好，手机到手,全新未拆封的,查了下序列号全新手机,昨天拍的今天到的,速度超级快!价格实惠,推荐购买物流非常快,快递员很负责任。手机整体感觉很漂亮,系统操作很流畅,手机整体手感很好,性价比还是很高。到了 iPhone 8 这一代上，因为玻璃背板的加入，iPhone 的背部终于完璧无瑕。让人略感意外的是，iPhone 8 plus双机背部仅有一个苹果的 logo 和一个 iPhone 的标识，除此之外再无其他图案或文字，这样一来，整机也显得更为简约。最后说一下照相的像素，亮点就在照相，iPhone 8 Plus采用后置双1200万像素摄像头，并且在人像模式拍摄中新增了&ldquo;人像光线功能&rdquo;，用户可以通过控制光线来改变成像效果。真的很好，炒鸡满意。",PLUS会员,0,0,5,2018/9/25 8:54
11959377517,iPhone不是吹的，无论开多少后台都不会出现卡顿的现象，屏幕清晰度非常的高，触感也是一流的，网速正常，只要不是网络不好网速都十分快，音质更不用说，清澈温柔，系统运行速度也是十分的快，即使用了很久也会依然流畅。,PLUS会员,0,0,5,2018/9/29 14:59
12201873715,运行平稳，系统运行速度很快，尺寸和金属质感符合人机工程学，长时间运行，没有明显发热现象，充电速度很快，待机时间很长，连贯通话，可以4小时候左右，待机48小时，价格赶上双十一，很合适,PLUS会员,2,0,5,2018/11/29 20:51
11243258042,"手机外形无瑕疵,很有美感,使用了两天总结一下。电池很耐用,运行很流畅(本人不玩游戏),音质低音回响效果很棒,很出色!让人无法接受的事情:手机信号特别不好,很不稳定!基本都是两格信号,很难看到有满格信号的情况。优点：拍照效果特别好 运行流畅 性能好 外观漂亮 相机像素高 手感舒适&nbsp;
缺点：续航一般,三星都6.3寸了 苹果还是5.5寸 所以不能满足果粉的大屏心里 而且没有耳机插孔 听音乐和充电不可兼得。&nbsp;",PLUS会员,14,4,5,2018/2/12 22:22
11742343853,手机系统运行流畅，不卡顿，屏幕分辨率很高，长时间使用，电池没有发热现象，待机时间不错，手机外壳的工艺很好，质感好，手机大小刚刚合适，符合人机工程，完美的体验,PLUS会员,0,0,5,2018/7/26 7:37
12386969895,首先信任京东这个平台，之前的手机，电脑，都是在京东上购买的，朋友阿家人阿，也都会在京东上买，这次，收到货后，急冲冲的拆开，差点摔了，妈呀，心在滴血?吓死宝宝了，拆开，设置好一切后，试用，整体真心不错，而且我买的深灰色的，原本说19号后有货，结果第二天就到了，调过来的，真的是很嗨森了，以后换手机，还会考虑的，手机本身，现在用，真心不错，，看后续吧,银牌会员,2,3,5,2019/1/18 22:28
11639617237,喜欢京东购物的理由是送货快，快递服务好！之前在京东买过两个手机还不错，后来买过ipad用着挺好的，这次再买一部8p是送给家人用的，送货很准时，很给力！这点是京东的首要强项。我个人很喜欢7p黑亮色，外观很诱人，爱不释手的感觉！妹妹喜欢8p黑色，就果断入手了，激活特意试用了两天，感觉还可以，暂时没出现过像评论里说的什么卡的问题，黑灰色外观很漂亮！画面清晰流畅，音质很不错！希望能用的久一点哦?⊙&forall;⊙！,金牌会员,57,23,5,2018/6/25 12:36
12013641857,是正品。使用也流畅。快递速度非常快，显示很棒，无色差。 运行速度： 滑行速度也很敏捷 拍照效果清晰。 电池续航： 开机后就充满到现在还有一半的电。电池很耐用，玻璃屏，可以照相，拿到手上很好看，手感很不错，性价比很高 运行快 小巧精致 拍照摄影都很清晰 完全不卡 用得心情非常好 个人觉得手感很棒 值得入手哦 价格也很实惠，苹果不会要你失望，京东值得信赖，可以放心购买,PLUS会员,0,0,5,2018/10/16 23:16
12245983874,"1.对苹果新处理器A11的运行速度满意，手机运行快，很流畅。
2.背面采用的玻璃材质，看起来高大尚,握持手感好。
3 缺点：创新不够，跟iPhone 7或6s没有多大区别；电池容量太少玻璃材质，易碎。",企业会员,1,1,5,2018/12/11 20:33
11612811664,效果特别好，运行很流畅，玻璃后壳手感很好，颜色显得浅了些，但是看着挺新颖的，大小正合适，单手操作也没有压力，屏幕效果好，应用飞快，真不错！,PLUS会员,0,0,5,2018/6/19 13:49
